                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.91795,                0.46214,                0.84796,                0.97537,                0.95858,                0.98685,                0.75932,                  0.985,                0.46869,                 0.8267,                0.00307,                0.00307,                0.00307
                    115,                0.91458,                0.46015,                0.84861,                0.97222,                 0.9681,                0.98718,                0.76085,                0.98012,                0.46873,                0.82576,              0.0030081,              0.0030081,              0.0030081
                    116,                0.91417,                0.45886,                0.85037,                 0.9756,                0.96118,                0.98821,                0.76374,                0.97155,                0.46589,                0.82592,              0.0029462,              0.0029462,              0.0029462
                    117,                0.91356,                 0.4593,                0.84786,                0.97383,                0.96347,                0.98699,                0.76025,                 0.9799,                0.46678,                0.82633,              0.0028844,              0.0028844,              0.0028844
                    118,                0.90808,                0.45493,                0.84653,                   0.97,                0.97229,                0.98867,                0.76446,                  0.981,                0.46569,                0.82613,              0.0028225,              0.0028225,              0.0028225
                    119,                 0.9074,                  0.456,                0.84655,                0.96834,                0.97046,                0.98759,                0.76383,                0.97496,                0.46417,                0.82525,              0.0027606,              0.0027606,              0.0027606
                    120,                0.90051,                0.45055,                0.84456,                0.97392,                0.96644,                0.98811,                0.76256,                0.98065,                  0.464,                0.82604,              0.0026987,              0.0026987,              0.0026987
                    121,                0.91015,                0.45663,                 0.8463,                0.97151,                0.96748,                0.98783,                 0.7622,                0.98988,                0.46694,                0.82699,              0.0026369,              0.0026369,              0.0026369
                    122,                0.90089,                 0.4527,                0.84442,                0.97687,                0.96649,                0.98737,                0.76459,                0.98556,                 0.4657,                  0.826,               0.002575,               0.002575,               0.002575
                    123,                0.90051,                0.45165,                0.84432,                0.97632,                0.96903,                0.98844,                0.76477,                0.98432,                0.46495,                0.82624,              0.0025131,              0.0025131,              0.0025131
                    124,                0.90075,                0.45115,                0.84405,                0.97669,                0.96576,                0.98729,                0.76569,                0.98468,                0.46417,                0.82601,              0.0024513,              0.0024513,              0.0024513
                    125,                0.89968,                0.44965,                0.84439,                 0.9721,                0.96727,                0.98764,                0.76322,                0.98702,                0.46374,                0.82649,              0.0023894,              0.0023894,              0.0023894
                    126,                 0.8928,                0.44661,                0.84296,                0.97648,                0.96806,                0.98887,                0.77019,                 0.9662,                0.45892,                0.82417,              0.0023275,              0.0023275,              0.0023275
                    127,                0.89218,                0.44476,                0.84321,                0.97399,                0.96764,                0.98756,                0.76457,                0.98398,                0.46462,                0.82612,              0.0022656,              0.0022656,              0.0022656
                    128,                0.89629,                0.44303,                0.84459,                0.97707,                0.96462,                0.98754,                0.76431,                 0.9815,                0.46121,                 0.8261,              0.0022038,              0.0022038,              0.0022038
                    129,                0.89158,                0.44404,                0.84433,                0.96729,                 0.9663,                0.98819,                0.76667,                0.97227,                 0.4585,                 0.8253,              0.0021419,              0.0021419,              0.0021419
                    130,                0.88731,                0.44316,                0.84568,                0.97409,                0.96439,                0.98762,                0.76707,                0.97668,                0.45879,                0.82592,                0.00208,                0.00208,                0.00208
                    131,                0.88704,                0.43897,                0.84374,                0.96601,                0.97079,                0.98726,                0.76708,                0.97226,                0.45856,                0.82559,              0.0020181,              0.0020181,              0.0020181
                    132,                0.88948,                 0.4411,                0.84432,                0.97471,                0.96049,                0.98696,                0.76475,                0.97258,                0.46015,                0.82534,              0.0019563,              0.0019563,              0.0019563
                    133,                0.89006,                0.44254,                0.84515,                0.97316,                0.96494,                0.98705,                0.76516,                0.97486,                0.46019,                0.82505,              0.0018944,              0.0018944,              0.0018944
                    134,                0.88226,                  0.436,                0.84132,                0.96813,                0.96738,                0.98654,                0.76201,                0.98643,                0.46256,                0.82665,              0.0018325,              0.0018325,              0.0018325
